grid_lat,grid_lon,pcell_cid,pcell_freq,scell_1_cid,scell_1_freq,scell_2_cid,scell_2_freq,scell_3_cid,scell_3_freq,seconds_since_epoch,throughput,past_seconds_since_rrc_request,pcell_rsrp,pcell_rsrq,scell_1_rsrp,scell_1_rsrq,scell_2_rsrp,scell_2_rsrq,scell_3_rsrp,scell_3_rsrq,pcell_tbs,scell_1_tbs,scell_2_tbs,scell_3_tbs,pcell_max_nRB,scell_1_max_nRB,scell_2_max_nRB,scell_3_max_nRB,pcell_sum_nRB,scell_1_sum_nRB,scell_2_sum_nRB,scell_3_sum_nRB,pcell_mcs,scell_1_mcs,scell_2_mcs,scell_3_mcs,pcell_snr,scell_1_snr,scell_2_snr,scell_3_snr
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583199789,14.746656,9,-92.9375,-15.125,-83.125,-17.1875,-85.5,-12.375,None,None,4.7644,7.517648,10.411272,0.0,50,100,50,0,21370,46328,37025,0,13.5938748336,10.1701183432,15.4915635546,None,6.59999990463,-2.20000004768,-0.300000011921,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583199790,21.844912,10,-98.1875,-16.1875,-86.75,-18.8125,-82.6875,-15.375,None,None,4.534168,4.632848,8.148896,0.0,50,100,50,0,22632,27740,27629,0,12.5430932704,10.651119403,16.3810160428,None,3.0,-4.40000009537,0.800000011921,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583199791,15.639104,11,-96.1875,-14.875,-85.5,-16.4375,-82.8125,-15.875,None,None,4.135248,6.803232,9.258848,0.0,50,100,50,0,18649,42540,34394,0,12.8647540984,10.6960193004,14.7909199522,None,4.59999990463,-1.70000004768,3.0,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583199792,18.218272,12,-102.9375,-16.875,-87.375,-19.0,-84.0,-14.875,None,None,5.46484,5.6306,3.749656,0.0,50,100,50,0,28664,47576,19068,0,11.6817640048,7.86272040302,11.8427152318,None,1.89999997616,-1.0,-0.300000011921,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583199793,14.025264,13,-100.9375,-15.875,-87.375,-17.4375,-86.0625,-14.0,None,None,2.209152,7.981544,4.969408,0.0,50,100,50,0,10257,53400,16972,0,12.4262295082,9.47668393782,16.3888024883,None,-0.800000011921,1.0,-0.10000000149,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583199794,12.817344,14,-99.0,-16.8125,-86.875,-19.375,-84.125,-17.375,None,None,1.956024,3.971544,2.94232,0.0,50,100,50,0,15144,26072,20492,0,7.93805309735,9.11556982343,8.82438316401,None,2.90000009537,-5.09999990463,-3.40000009537,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583199795,8.75088,15,-100.0625,-17.5625,-89.0,-19.0,-85.125,-15.875,None,None,2.59772,3.616688,4.6624,0.0,50,100,50,0,19387,34552,24293,0,8.69598965071,7.01914580265,10.5085227273,None,0.899999976158,-4.30000019073,-0.600000023842,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583199796,10.338752,16,-98.0625,-16.5625,-87.8125,-18.875,-86.3125,-14.4375,None,None,4.306344,2.580912,5.881208,0.0,50,100,50,0,24083,27868,30130,0,10.3781212842,6.09312977099,11.2785276074,None,3.0,-4.69999980927,-2.79999995232,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583199797,11.91504,17,-106.125,-17.625,-88.6875,-20.0625,-82.0,-15.625,None,None,6.24696,2.926512,5.784512,0.0,50,100,50,0,41294,34736,34724,0,9.0,4.79879275654,9.84633294529,None,1.39999997616,-6.80000019073,1.20000004768,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583199798,12.528144,18,-103.4375,-16.5625,-89.8125,-22.6875,-83.375,-17.25,None,None,5.23652,1.152912,6.71164,0.0,50,100,50,0,39534,13784,31952,0,8.7715392062,5.76363636364,12.3509615385,None,2.0,-5.5,-3.29999995232,None
34.07,-118.4445,254,9820,366,850,178,5110,None,None,1583199799,12.805776,19,-99.1875,-17.0,-89.875,-23.0,-82.25,-16.375,None,None,3.177944,2.463176,8.26236,0.0,50,100,50,0,19711,34528,30324,0,9.79927884615,4.32958801498,15.0083036773,None,3.90000009537,-7.30000019073,-1.70000004768,None
34.0705,-118.4445,254,9820,366,850,178,5110,None,None,1583199800,11.602704,20,-100.4375,-15.875,-91.25,-18.6875,-85.4375,-15.3125,None,None,1.822872,2.471296,6.960528,0.0,50,100,50,0,15040,34384,25269,0,8.11397058824,4.64448051948,15.4582338902,None,3.90000009537,-1.79999995232,-2.20000004768,None
34.0705,-118.4445,254,9820,366,850,178,5110,None,None,1583199801,10.17984,21,-101.0625,-17.8125,-91.0,-19.5,-86.9375,-15.6875,None,None,1.419928,1.458824,2.690904,0.0,50,100,50,0,11435,16160,11965,0,7.71125611746,5.92647058824,12.7667597765,None,0.800000011921,-3.70000004768,-3.79999995232,None
34.0705,-118.4445,254,9820,366,850,178,5110,None,None,1583199802,4.661904,22,-101.6875,-18.375,-88.0625,-17.5,-86.5,-16.6875,None,None,1.582176,0.840152,2.5946,0.0,50,100,50,0,14027,10356,10556,0,7.25258493353,5.42767295597,13.0948553055,None,3.59999990463,-0.699999988079,-4.69999980927,None
34.0705,-118.4445,254,9820,366,850,178,5110,None,None,1583199803,4.418976,23,-103.6875,-19.125,-90.9375,-19.6875,-92.1875,-18.5,None,None,1.59744,2.400336,0.776128,0.0,50,100,50,0,11882,19180,5640,0,8.68128654971,7.34090909091,8.61686746988,None,3.20000004768,-3.59999990463,-5.30000019073,None
34.0705,-118.4445,254,9820,366,850,178,5110,None,None,1583199804,4.85856,24,-103.8125,-16.9375,-89.5,-19.3125,-83.875,-16.25,None,None,1.83388,3.049464,3.2824,0.0,50,100,50,0,14800,22280,19387,0,6.98820445609,8.14969135802,10.3152302243,None,-1.39999997616,-1.39999997616,-1.89999997616,None
34.0705,-118.4445,254,9820,366,850,178,5110,None,None,1583199805,6.9408,25,-104.75,-18.125,-87.9375,-19.25,-87.0625,-17.0,None,None,0.51084,2.678584,4.7744,0.0,50,100,50,0,5229,18584,18774,0,6.0,8.57419354839,14.5847347995,None,-1.10000002384,-4.40000009537,-2.20000004768,None
